stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8012758,,Reuterstadt Stavenhagen,,53.7069150,12.9142060,,,0,
8012762,,Ribnitz-Damgarten Ost,,54.2510010,12.4866770,,,0,
8012763,,Ribnitz-Damgarten West,,54.2391800,12.4369660,,,0,
8012788,,Roitzsch(Bitterf),,51.5711660,12.2645400,,,0,
8012832,,Sagard,,54.5243830,13.5649590,,,0,
8012835,,Samtens,,54.3541120,13.2901710,,,0,
8012843,,Sassnitz,,54.5162830,13.6379120,,,0,
8012902,,Schönberg(Meckl),,53.8533770,10.9278770,,,0,
8012907,,Schönebeck-Bad Salzelmen,,51.9979310,11.7229730,,,0,
8013017,,Sponholz,,53.5638520,13.3664000,,,0,
8013046,,Stendal Vorbf,,52.5958350,11.8712870,,,0,
8013062,,Stralsund Rügendamm,,54.3053180,13.1075260,,,0,
8013084,,Tangermünde,,52.5457380,11.9699590,,,0,
8013085,,Tangermünde West,,52.5475590,11.9604940,,,0,
8013087,,Tanndorf,,51.1614640,12.8483930,,,0,
8013104,,Teschenhagen,,54.3893650,13.3742400,,,0,
8013186,,Ventschow,,53.7872040,11.5800180,,,0,
8013267,,Weinböhla Hp,,51.1591020,13.5615480,,,0,
8013295,,Westewitz-Hochweitzschen,,51.1373870,13.0281240,,,0,
8013361,,Wurzen,,51.3644160,12.7389660,,,0,
8013393,,Zerrenthin,,53.4993940,14.0978950,,,0,
8013461,,Oschatz,,51.3117380,13.1057390,,,0,
8070961,,Rostock Albrecht-Kossel-Platz,,54.0774620,12.1295500,,,0,
8070970,,Autobahnrastplatz Recknitz-Niederung Ost,,53.8391100,12.2908830,,,0,
8070971,,Autobahnrastplatz Recknitz-Niederung West,,53.8412750,12.2874650,,,0,
8080660,,Magdeburg Hasselbachplatz,,52.1223770,11.6248620,,,0,
8080930,,Leipzig-Sellerhausen,,51.3455620,12.4234380,,,0,
8081260,,Schönebeck Süd,,52.0067990,11.7372050,,,0,
8081270,,Schönebeck-Frohse,,52.0339150,11.7073780,,,0,
8089123,,Grambow(Gr),,53.4158040,14.3733970,,,0,
8098089,,Dresden-Neustadt Gl. 10,,51.0658660,13.7407810,,,0,
9001103,,Wiebestr./Huttenstr. (Berlin),,52.5283150,13.3202550,,,0,
9001151,,Reuchlinstr. (Berlin),,52.5279000,13.3236320,,,0,
9001152,,Neues Ufer (Berlin),,52.5291000,13.3159760,,,0,
9001154,,Ilsenburger Str. (Berlin),,52.5257530,13.3098340,,,0,
9001155,,Goslarer Platz (Berlin),,52.5257930,13.3142560,,,0,
9001200,,Fennbrücke (Berlin),,52.5383960,13.3609580,,,0,
9001201,,S+U Westhafen (Berlin),,52.5365280,13.3427270,,,0,
9001202,,Am Nordhafen (Berlin),,52.5388500,13.3636100,,,0,
9001203,,Döberitzer Str. (Berlin),,52.5300280,13.3687600,,,0,
9001204,,Lehrter Str./Invalidenstr. (Berlin),,52.5257640,13.3652230,,,0,
9001252,,Friedrich-Krause-Ufer (Berlin),,52.5367390,13.3612160,,,0,
9002101,,Turmstr./Waldstr. (Berlin),,52.5271040,13.3304300,,,0,
9002102,,Turmstr./Beusselstr. (Berlin),,52.5273390,13.3287430,,,0,
9002151,,Wittstocker Str. (Berlin),,52.5308560,13.3285100,,,0,
9002152,,Oldenburger Str. (Berlin),,52.5266920,13.3359580,,,0,
9002200,,Quitzowstr. (Berlin),,52.5352940,13.3563960,,,0,
9002201,,U Birkenstr. (Berlin),,52.5322290,13.3414170,,,0,
9002202,,Wilsnacker Str. (Berlin),,52.5263630,13.3514060,,,0,
9002203,,Stendaler Str. (Berlin),,52.5324580,13.3505320,,,0,
9002204,,Perleberger Brücke (Berlin),,52.5353290,13.3580330,,,0,
9002205,,Turmstr./Lübecker Str. (Berlin),,52.5262510,13.3455080,,,0,
9002206,,Turmstr./Rathenower Str. (Berlin),,52.5266840,13.3548050,,,0,
9002207,,Stromstr. (Berlin),,52.5291890,13.3440060,,,0,
9002254,,Birkenstr./Rathenower Str. (Berlin),,52.5296540,13.3529070,,,0,
9002255,,Seydlitzstr. (Berlin),,52.5270350,13.3641580,,,0,
9002256,,Poststadion (Berlin),,52.5302810,13.3624310,,,0,
9002257,,Kruppstr. (Berlin),,52.5333870,13.3596390,,,0,
9002258,,Havelberger Str. (Berlin),,52.5310250,13.3476730,,,0,
9003101,,U Hansaplatz (Berlin),,52.5181110,13.3421650,,,0,
9003102,,S Bellevue (Berlin),,52.5197640,13.3469160,,,0,
9003103,,S Tiergarten (Berlin),,52.5144000,13.3364690,,,0,
9003104,,U Turmstr. (Berlin),,52.5258370,13.3424010,,,0,
9003105,,Bachstr. (Berlin),,52.5185980,13.3395730,,,0,
9003107,,Alt-Moabit/Gotzkowskystr. (Berlin),,52.5239290,13.3298920,,,0,
9003152,,Solinger Str. (Berlin),,52.5205470,13.3357280,,,0,
9003155,,Rathaus Tiergarten (Berlin),,52.5260620,13.3391660,,,0,
9003156,,Ottostr. (Berlin),,52.5246810,13.3349250,,,0,
9003181,,Zinzendorfstr. (Berlin),,52.5222210,13.3315060,,,0,
9003200,,S+U Berlin Hauptbahnhof (tief),,52.5250420,13.3693860,,,0,
9003201,,S+U Berlin Hauptbahnhof,,52.5258470,13.3689240,,,0,
9003202,,Kirchstr./Alt-Moabit (Berlin),,52.5245420,13.3495820,,,0,
9003203,,Alt-Moabit/Rathenower Str. (Berlin),,52.5236920,13.3570700,,,0,
9003204,,Kleiner Tiergarten (Berlin),,52.5249900,13.3457640,,,0,
9003205,,Washingtonplatz/Hauptbahnhof (Berlin),,52.5239660,13.3707080,,,0,
9003251,,Paulstr. (Berlin),,52.5200690,13.3556620,,,0,
9003252,,Schloss Bellevue (Berlin),,52.5167150,13.3542030,,,0,
9003253,,Haus der Kulturen der Welt (Berlin),,52.5175980,13.3633640,,,0,
9003254,,U Bundestag (Berlin),,52.5199080,13.3734540,,,0,
9003256,,Spenerstr. (Berlin),,52.5240020,13.3535430,,,0,
9003257,,Claire-Waldoff-Promenade (Berlin),,52.5239130,13.3613500,,,0,
9003260,,Bundeskanzleramt (Berlin),,52.5207430,13.3711970,,,0,
9004101,,Großer Stern (Berlin),,52.5151430,13.3501770,,,0,
9004104,,Reichstag/Bundestag (Berlin),,52.5177160,13.3764800,,,0,
9004105,,Platz der Republik (Berlin),,52.5177860,13.3704420,,,0,
9004151,,Nordische Botschaften/Adenauer-Stiftung (Berlin),,52.5095930,13.3514060,,,0,
9004181,,Hertzallee (Berlin),,52.5092310,13.3326150,,,0,
9005101,,Budapester Str. (Berlin),,52.5065670,13.3456720,,,0,
9005102,,Corneliusbrücke (Berlin),,52.5076200,13.3486650,,,0,
9005103,,Schillstr. (Berlin),,52.5031030,13.3499260,,,0,
9005105,,Lützowplatz (Berlin),,52.5049000,13.3515570,,,0,
9005150,,Tiergartenstr. (Berlin),,52.5098050,13.3611640,,,0,
9005152,,Gedenkstätte Dt. Widerstand (Berlin),,52.5057360,13.3632920,,,0,
9005154,,Köbisstr. (Berlin),,52.5071650,13.3562660,,,0,
9005155,,Hiroshimasteg (Berlin),,52.5064290,13.3569800,,,0,
9005156,,Bayreuther Str. (Berlin),,52.5044300,13.3439580,,,0,
9005201,,U Kurfürstenstr. (Berlin),,52.4998100,13.3628140,,,0,
9005202,,Lützowstr./Potsdamer Str. (Berlin),,52.5034220,13.3660030,,,0,
9005205,,Potsdamer Brücke (Berlin),,52.5059480,13.3683060,,,0,
9005206,,Philharmonie (Berlin),,52.5105380,13.3692880,,,0,
9005208,,Varian-Fry-Str. (Berlin),,52.5092930,13.3743020,,,0,
9005252,,U Mendelssohn-Bartholdy-Park (Berlin),,52.5038060,13.3747190,,,0,
9005253,,Schöneberger Brücke (Berlin),,52.5023330,13.3777510,,,0,
9005255,,Kulturforum (Berlin),,52.5075640,13.3691810,,,0,
9006100,,S Wollankstr./Sternstr. (Berlin),,52.5653520,13.3915400,,,0,
9006102,,Prinzenallee/Soldiner Str. (Berlin),,52.5586560,13.3862410,,,0,
9006103,,Residenzstr./Reginhardstr. (Berlin),,52.5601420,13.3705230,,,0,
9006104,,Soldiner Str./Koloniestr. (Berlin),,52.5600830,13.3810510,,,0,
9006105,,Verlängerte Koloniestr. (Berlin),,52.5675450,13.3846480,,,0,
9006153,,St.-Elisabeth-Kirchhof (Berlin),,52.5604980,13.3877590,,,0,
9007102,,S+U Gesundbrunnen Bhf (Berlin),,52.5490360,13.3880450,,,0,
9007103,,U Voltastr. (Berlin),,52.5419300,13.3931570,,,0,
9007104,,S Nordbahnhof (Berlin),,52.5318700,13.3881230,,,0,
9007105,,Wolliner Str. (Berlin),,52.5397700,13.4018000,,,0,
9007106,,Usedomer Str./Feldstr. (Berlin),,52.5392330,13.3871320,,,0,
9007107,,Ruppiner Str. (Berlin),,52.5390850,13.3989780,,,0,
9007108,,S Nordbahnhof/Gartenstr. (Berlin),,52.5333600,13.3874920,,,0,
9007110,,U Bernauer Str. (Berlin),,52.5379940,13.3962310,,,0,
9007111,,Lortzingstr. (Berlin),,52.5443040,13.3991730,,,0,
9007112,,Gartenplatz (Berlin),,52.5384220,13.3842760,,,0,
9007113,,Theodor-Heuss-Weg (Berlin),,52.5349520,13.3858620,,,0,
9007114,,Gartenstr./Feldstr. (Berlin),,52.5365220,13.3838180,,,0,
9007150,,Gedenkstätte Berliner Mauer (Berlin),,52.5356980,13.3904840,,,0,
9007154,,Demminer Str. (Berlin),,52.5426110,13.3994290,,,0,
9007155,,Gleimstr. (Berlin),,52.5460420,13.3980790,,,0,
9007156,,Swinemünder Str. (Berlin),,52.5459540,13.3949210,,,0,
9007157,,Rügener Str. (Berlin),,52.5450140,13.3907930,,,0,
9007159,,Humboldtsteg (Berlin),,52.5473910,13.3819930,,,0,
9007160,,Grüntaler Str. (Berlin),,52.5553580,13.3907960,,,0,
9007181,,Usedomer Str. (Berlin),,52.5399160,13.3894670,,,0,
9008101,,S Humboldthain (Berlin),,52.5447420,13.3787260,,,0,
9008102,,U Reinickendorfer Str. (Berlin),,52.5398950,13.3703930,,,0,
9008103,,Nettelbeckplatz/S Wedding (Berlin),,52.5446700,13.3701880,,,0,
9008104,,U Reinickendorfer Str./Fennstr. (Berlin),,52.5415240,13.3694120,,,0,
9008106,,Brunnenplatz (Berlin),,52.5501420,13.3779960,,,0,
9008151,,Gerichtstr./Hochstr. (Berlin),,52.5432580,13.3757170,,,0,
9008153,,Wiesenstr. (Berlin),,52.5475930,13.3738910,,,0,
9008158,,Schererstr. (Berlin),,52.5482140,13.3691640,,,0,
9009101,,U Amrumer Str. (Berlin),,52.5422020,13.3495340,,,0,
9009102,,U Leopoldplatz (Berlin),,52.5464930,13.3593950,,,0,
9009103,,U Seestr. (Berlin),,52.5504700,13.3519690,,,0,
9009104,,S+U Wedding (Berlin),,52.5427320,13.3660600,,,0,
9009105,,Seestr./Amrumer Str. (Berlin),,52.5462190,13.3440550,,,0,
9009151,,Gerichtstr. (Berlin),,52.5444780,13.3626640,,,0,
9009152,,Rathaus Wedding (Berlin),,52.5478470,13.3565770,,,0,
9009153,,Luxemburger Str. (Berlin),,52.5440530,13.3550600,,,0,
9009154,,Samoastr. (Berlin),,52.5416010,13.3541440,,,0,
9009155,,Kiautschoustr. (Berlin),,52.5410670,13.3576650,,,0,
9009156,,Antwerpener Str. (Berlin),,52.5486830,13.3487010,,,0,
9009201,,U Nauener Platz (Berlin),,52.5515240,13.3673650,,,0,
9009202,,U Osloer Str. (Berlin),,52.5569380,13.3732840,,,0,
9009203,,U Pankstr. (Berlin),,52.5522550,13.3818370,,,0,
9009204,,Osloer Str./Prinzenallee (Berlin),,52.5559360,13.3836630,,,0,
9009206,,Drontheimer Str. (Berlin),,52.5565290,13.3775470,,,0,
9009251,,Maxstr. (Berlin),,52.5494150,13.3639970,,,0,
9009252,,Exerzierstr. (Berlin),,52.5540170,13.3717040,,,0,
9009253,,Uferstr. (Berlin),,52.5532590,13.3781670,,,0,
9009254,,Ritterlandweg/Soldiner Str. (Berlin),,52.5603280,13.3769290,,,0,
9010201,,Sylter Str. (Berlin),,52.5423270,13.3369340,,,0,
9010251,,Virchow-Klinikum (Berlin),,52.5434930,13.3387390,,,0,
9011101,,U Rehberge (Berlin),,52.5566700,13.3410130,,,0,
9011102,,U Afrikanische Str. (Berlin),,52.5608620,13.3335020,,,0,
9011103,,Otawistr. (Berlin),,52.5526810,13.3368810,,,0,
9011104,,Glasgower Str. (Berlin),,52.5549150,13.3459720,,,0,
9011105,,Londoner Str. (Berlin),,52.5633620,13.3428980,,,0,
9011151,,Türkenstr. (Berlin),,52.5535060,13.3465930,,,0,
9011152,,Bristolstr. (Berlin),,52.5585620,13.3516140,,,0,
9011153,,Septimerstr. (Berlin),,52.5642540,13.3387080,,,0,
9011154,,Nachtigalplatz (Berlin),,52.5569300,13.3346510,,,0,
9011155,,Transvaalstr. (Berlin),,52.5507710,13.3388870,,,0,
9011201,,Louise-Schroeder-Platz (Berlin),,52.5569820,13.3656030,,,0,
9011206,,Holländerstr./Aroser Allee (Berlin),,52.5620880,13.3537570,,,0,
9011207,,Brienzer Str. (Berlin),,52.5619490,13.3595780,,,0,
9011251,,Iranische Str. (Berlin),,52.5550630,13.3659560,,,0,
9011252,,Osram-Höfe (Berlin),,52.5536960,13.3582910,,,0,
9012101,,S Anhalter Bahnhof (Berlin),,52.5044990,13.3823550,,,0,
9012102,,U Kochstr./Checkpoint Charlie (Berlin),,52.5066730,13.3908630,,,0,
9012103,,U Hallesches Tor (Berlin),,52.4977740,13.3917600,,,0,
9012104,,Lindenstr./Oranienstr. (Berlin),,52.5069620,13.3983690,,,0,
9012105,,Abgeordnetenhaus (Berlin),,52.5065530,13.3796660,,,0,
9012106,,Mehringbrücke (Berlin),,52.4979740,13.3892630,,,0,
9012151,,Willy-Brandt-Haus (Berlin),,52.5004130,13.3874400,,,0,
9012152,,Blücherstr. (Berlin),,52.4960150,13.3953860,,,0,
9012153,,Wilhelmstr./Kochstr. (Berlin),,52.5058900,13.3863610,,,0,
9012154,,Charlottenstr. (Berlin),,52.5068850,13.3935360,,,0,
9012155,,Waldeckpark (Berlin),,52.5061750,13.4018350,,,0,
9012156,,Alexandrinenstr. (Berlin),,52.5051540,13.4053220,,,0,
9012157,,Jüdisches Museum (Berlin),,52.5035430,13.3956390,,,0,
9012158,,Franz-Klühs-Str. (Berlin),,52.5004170,13.3948040,,,0,
9012161,,Wilhelmstr./Franz-Klühs-Str. (Berlin),,52.5014150,13.3886060,,,0,
9013101,,U Moritzplatz (Berlin),,52.5037390,13.4109470,,,0,
9013102,,U Kottbusser Tor (Berlin),,52.4992490,13.4181670,,,0,
9013103,,U Prinzenstr. (Berlin),,52.4982740,13.4065310,,,0,
9013104,,Prinzenstr./Ritterstr. (Berlin),,52.5016470,13.4092750,,,0,
9013151,,Segitzdamm (Berlin),,52.5002390,13.4143400,,,0,
9013152,,Oranienplatz (Berlin),,52.5022440,13.4157300,,,0,
9014101,,U Görlitzer Bahnhof (Berlin),,52.4990350,13.4284680,,,0,
9014102,,U Schlesisches Tor (Berlin),,52.5007590,13.4419260,,,0,
9014103,,Adalbertstr./Oranienstr. (Berlin),,52.5012850,13.4192930,,,0,
9014104,,Manteuffelstr./Köpenicker Str. (Berlin),,52.5056340,13.4320110,,,0,
9014105,,Waldemarstr./Manteuffelstr. (Berlin),,52.5011720,13.4279190,,,0,
9014106,,Lausitzer Platz (Berlin),,52.4994700,13.4319140,,,0,
9014107,,Bethaniendamm (Berlin),,52.5072140,13.4284390,,,0,
9014151,,Waldemarstr./Adalbertstr. (Berlin),,52.5028900,13.4218190,,,0,
9014152,,Mariannenplatz (Berlin),,52.5022030,13.4244180,,,0,
9014153,,Wrangelstr. (Berlin),,52.5034920,13.4300120,,,0,
9014154,,Eisenbahnstr. (Berlin),,52.5044750,13.4349340,,,0,
9014155,,Falckensteinstr. (Berlin),,52.5000520,13.4439490,,,0,
9014156,,Heinrichplatz (Berlin),,52.5002710,13.4229120,,,0,
9015101,,Heckmannufer (Berlin),,52.4970110,13.4492980,,,0,
9015103,,Glogauer Str. (Berlin),,52.4935360,13.4372720,,,0,
9015104,,Ohlauer Str. (Berlin),,52.4955690,13.4304760,,,0,
9015151,,Taborstr. (Berlin),,52.4982140,13.4472610,,,0,
9015152,,Spreewaldplatz (Berlin),,52.4976440,13.4312800,,,0,
9016101,,U Gneisenaustr. (Berlin),,52.4912520,13.3953820,,,0,
9016103,,Zossener Brücke (Berlin),,52.4984270,13.3958450,,,0,
9016151,,Marheinekeplatz (Berlin),,52.4893830,13.3938210,,,0,
9016152,,Jüterboger Str. (Berlin),,52.4862480,13.3944140,,,0,
9016153,,Gneisenaustr./Baerwaldstr. (Berlin),,52.4903860,13.4002140,,,0,
9016154,,Urbanstr./Baerwaldstr. (Berlin),,52.4939100,13.4031820,,,0,
9016157,,Tempelherrenstr. (Berlin),,52.4943350,13.4006340,,,0,
9016201,,U Schönleinstr. (Berlin),,52.4931790,13.4222410,,,0,
9016202,,U Südstern (Berlin),,52.4892190,13.4076850,,,0,
9016203,,Geibelstr. (Berlin),,52.4933640,13.4067870,,,0,
9016204,,Körtestr. (Berlin),,52.4920390,13.4123400,,,0,
9016250,,Hasenheide (Berlin),,52.4875560,13.4189680,,,0,
9016251,,Fichtestr. (Berlin),,52.4883380,13.4129870,,,0,
9016252,,Graefestr. (Berlin),,52.4909690,13.4161480,,,0,
9016254,,Wilmsstr. (Berlin),,52.4951900,13.4043420,,,0,
9016255,,Kottbusser Brücke (Berlin),,52.4955340,13.4206980,,,0,
9017100,,Obentrautstr. (Berlin),,52.4958170,13.3893420,,,0,
9017101,,U Mehringdamm (Berlin),,52.4935750,13.3881530,,,0,
9017102,,U Platz der Luftbrücke (Berlin),,52.4849770,13.3863510,,,0,
9017103,,U Gleisdreieck (Berlin),,52.4995870,13.3742930,,,0,
9017104,,U Möckernbrücke (Berlin),,52.4989440,13.3832560,,,0,
9017105,,Yorckstr./Großbeerenstr. (Berlin),,52.4936340,13.3838260,,,0,
9017106,,Platz der Luftbrücke (Berlin),,52.4834410,13.3870380,,,0,
9017107,,Kaiserkorso (Berlin),,52.4840930,13.3842910,,,0,
9017109,,Katzbachstr./Kreuzbergstr. (Berlin),,52.4893100,13.3770640,,,0,
9017151,,Bergmannstr. (Berlin),,52.4900710,13.3865110,,,0,
9017152,,Kreuzberg/Wasserfall (Berlin),,52.4901740,13.3823330,,,0,
9017181,,Columbiadamm/Platz der Luftbrücke (Berlin),,52.4843590,13.3900120,,,0,
9018101,,U Jakob-Kaiser-Platz (Berlin),,52.5369850,13.2936610,,,0,
9018102,,U Halemweg (Berlin),,52.5367030,13.2865780,,,0,
9018103,,Weltlingerbrücke (Berlin),,52.5395760,13.2950640,,,0,
9018105,,Hinckeldeybrücke (Berlin),,52.5466210,13.2992220,,,0,
9018106,,Goerdelerdamm (Berlin),,52.5349490,13.2981700,,,0,
9018151,,Habermannzeile (Berlin),,52.5396710,13.2912790,,,0,
9018152,,Hofackerzeile (Berlin),,52.5371050,13.2908650,,,0,
9018153,,Dahrendorfzeile (Berlin),,52.5351480,13.2890380,,,0,
9019102,,Gloedenpfad (Berlin),,52.5394080,13.3021340,,,0,
9019103,,Seestr./Beusselstr. (Berlin),,52.5382500,13.3263460,,,0,
9019105,,Buchholzweg (Berlin),,52.5469730,13.3177930,,,0,
9019152,,Gedenkstätte Plötzensee (Berlin),,52.5421000,13.3243830,,,0,
9019153,,Friedrich-Olbricht-Damm/Saatwinkler Damm (Berlin),,52.5475520,13.3125770,,,0,
9019154,,Stieffring (Berlin),,52.5450790,13.3127240,,,0,
9019155,,Thaters Privatweg (Berlin),,52.5394460,13.3101090,,,0,
9019156,,Kolonie Zukunft (Berlin),,52.5394640,13.3052310,,,0,
9019158,,Berliner Großmarkt (Berlin),,52.5366510,13.3270050,,,0,
9019202,,Reichweindamm (Berlin),,52.5356530,13.3004020,,,0,
9019203,,Friedrich-Olbricht-Damm/Heckerdamm (Berlin),,52.5412160,13.3149670,,,0,
9019204,,U Mierendorffplatz (Berlin),,52.5259780,13.3057150,,,0,
9019205,,Quedlinburger Str. (Berlin),,52.5229200,13.3059190,,,0,
9019252,,Wirmerzeile (Berlin),,52.5369030,13.3027080,,,0,
9019253,,Keplerstr. (Berlin),,52.5281440,13.3048660,,,0,
9020101,,Friedhöfe Fürstenbrunner Weg (Berlin),,52.5244690,13.2792960,,,0,
9020102,,Rohrdammbrücke (Berlin),,52.5284990,13.2697900,,,0,
9020103,,Kirschenallee (Berlin),,52.5203840,13.2672280,,,0,
9020105,,Machandelweg (Berlin),,52.5248250,13.2450630,,,0,
9020151,,Fürstenbrunner Weg (Berlin),,52.5209570,13.2799300,,,0,
9020152,,Kastanienallee (Berlin),,52.5195130,13.2722270,,,0,
9020153,,DRK-Kliniken Westend (Berlin),,52.5187120,13.2764320,,,0,
9020201,,S+U Jungfernheide Bhf (Berlin),,52.5302750,13.2990640,,,0,
9020202,,S Beusselstr. (Berlin),,52.5343140,13.3287030,,,0,
9020204,,Sophie-Charlotten-Str. (Berlin),,52.5188160,13.2867920,,,0,
9020206,,Pulsstr. (Berlin),,52.5243200,13.2856120,,,0,
9020207,,Tegeler Weg/S Jungfernheide (Berlin),,52.5294070,13.2962380,,,0,
9020208,,Osnabrücker Str. (Berlin),,52.5269140,13.2973880,,,0,
9020252,,Schlossbrücke (Berlin),,52.5229410,13.2999080,,,0,
9020271,,Mollwitzstr. (Berlin),,52.5221690,13.2859030,,,0,
9020272,,Schlosspark-Klinik (Berlin),,52.5228390,13.2887370,,,0,
9020281,,Goerdelersteg (Berlin),,52.5321770,13.3058990,,,0,
9021102,,Marchbrücke (Berlin),,52.5171500,13.3237500,,,0,
9021151,,Marchstr. (Berlin),,52.5134950,13.3226390,,,0,
9021152,,Franklinstr. (Berlin),,52.5220430,13.3281410,,,0,
9021181,,Helmholtzstr. (Berlin),,52.5208270,13.3212380,,,0,
9022101,,U Sophie-Charlotte-Platz (Berlin),,52.5109700,13.2974630,,,0,
9022103,,Klausenerplatz (Berlin),,52.5191250,13.2913680,,,0,
9022105,,Haubachstr. (Berlin),,52.5153910,13.3008640,,,0,
9022106,,Bismarckstr./Kaiser-Friedrich-Str. (Berlin),,52.5112840,13.3015970,,,0,
9022151,,Eosanderstr. (Berlin),,52.5182680,13.3040130,,,0,
9022152,,Seelingstr. (Berlin),,52.5163740,13.2964440,,,0,
9022153,,Zillestr. (Berlin),,52.5133670,13.2969000,,,0,
9022171,,Schloss Charlottenburg (Berlin),,52.5192550,13.2959540,,,0,
9022172,,Luisenplatz/Schloss Charlottenburg (Berlin),,52.5195740,13.2996320,,,0,
9022201,,U Deutsche Oper (Berlin),,52.5118270,13.3094200,,,0,
